مشخصه,نام درس,مقطع کلاس,نظری,نوع عملی,نوع عملی,جنسیت,گروه کلاس,باقي مانده,ساعت کلاس,ساعت امتحان,ت امتحان,نام استاد,گروه بندی,,,,
91305,آزمايشگاه مدارهاي منطقي و معماري كامپيوتر,کارشناسي,0,1,اصلي,مختلط, ,0,سه شنبــه09:45 08:15,00:00,/ /,خورشيد طلب آيدا,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91306,آزمايشگاه مدارهاي منطقي و معماري كامپيوتر,کارشناسي,0,1,اصلي,مختلط, ,0,سه شنبــه11:30 10:00,00:00,/ /,خورشيد طلب آيدا,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91307,آزمايشگاه مدارهاي منطقي و معماري كامپيوتر,کارشناسي,0,1,اصلي,مختلط, ,0,سه شنبــه14:00 12:30,00:00,/ /,خورشيد طلب آيدا,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91294,آزمايشگاه مدارهاي منطقي و معماري كامپيوتر,کارشناسي,0,1,اصلي,مختلط, ,1,شنبـــــه09:45 08:15,00:00,/ /,نوري امير,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91295,آزمايشگاه مدارهاي منطقي و معماري كامپيوتر,کارشناسي,0,1,اصلي,مختلط, ,5,شنبـــــه11:30 10:00,00:00,/ /,نوري امير,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91296,آزمايشگاه مدارهاي منطقي و معماري كامپيوتر,کارشناسي,0,1,اصلي,مختلط, ,0,شنبـــــه15:45 14:15,00:00,/ /,نوري امير,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91297,آزمايشگاه مدارهاي منطقي و معماري كامپيوتر,کارشناسي,0,1,اصلي,مختلط, ,0,شنبـــــه14:00 12:30,00:00,/ /,نوري امير,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
92058,آزمايشگاه مدارهاي منطقي و معماري كامپيوتر,کارشناسي,0,1,اصلي,مختلط, ,0,يکشنـــبه09:45 08:15,00:00,/ /,محسني علي,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
92059,آزمايشگاه مدارهاي منطقي و معماري كامپيوتر,کارشناسي,0,1,اصلي,مختلط, ,0,يکشنـــبه11:30 10:00,00:00,/ /,محسني علي,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
92060,آزمايشگاه مدارهاي منطقي و معماري كامپيوتر,کارشناسي,0,1,اصلي,مختلط, ,0,يکشنـــبه14:00 12:30,00:00,/ /,محسني علي,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
92061,آزمايشگاه مدارهاي منطقي و معماري كامپيوتر,کارشناسي,0,1,اصلي,مختلط, ,0,يکشنـــبه15:45 14:15,00:00,/ /,محسني علي,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
11184,آمارواحتمالات مهندسي,کارشناسي,3,0,--,مختلط, ,0,سه شنبــه10:30 08:15 کلاس a8,08:15,23/10/98,مغناطيسي زهرا,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
11185,آمارواحتمالات مهندسي,کارشناسي,3,0,--,مختلط, ,0,سه شنبــه11:30 10:45 کلاس a8 سه شنبــه14:00 12:30 کلاس a8,08:15,23/10/98,مغناطيسي زهرا,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
11186,آمارواحتمالات مهندسي,کارشناسي,3,0,--,مختلط, ,0,شنبـــــه10:30 08:15 کلاس 111b,08:15,23/10/98,مغناطيسي زهرا,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
11187,آمارواحتمالات مهندسي,کارشناسي,3,0,--,مختلط, ,0,شنبـــــه11:30 10:45 کلاس 111b شنبـــــه14:00 12:30 کلاس 111b,08:15,23/10/98,مغناطيسي زهرا,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
11188,آمارواحتمالات مهندسي,کارشناسي,3,0,--,مختلط, ,0,چهار شنبه16:30 14:15 کلاس a8,08:15,23/10/98,وزيري زهره,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
